,date,open,high,low,close
0,2023-01-03,1.06675,1.06836,1.05195,1.05484
1,2023-01-04,1.05479,1.06357,1.05414,1.06041
2,2023-01-05,1.06047,1.06317,1.05151,1.05221
3,2023-01-06,1.05228,1.06483,1.04824,1.06434
4,2023-01-09,1.06413,1.07608,1.06394,1.07332
5,2023-01-10,1.07313,1.07595,1.07123,1.07346
6,2023-01-11,1.07341,1.07766,1.07256,1.07562
7,2023-01-12,1.07553,1.08671,1.07307,1.08511
8,2023-01-13,1.08483,1.0868,1.07806,1.08333
9,2023-01-16,1.08333,1.08743,1.08017,1.08227
10,2023-01-17,1.08217,1.08695,1.07746,1.07884
11,2023-01-18,1.07904,1.08876,1.07663,1.07945
12,2023-01-19,1.07914,1.08402,1.07826,1.08309
13,2023-01-20,1.08307,1.0859,1.08025,1.08563
14,2023-01-23,1.08658,1.09271,1.08464,1.08715
15,2023-01-24,1.08731,1.08982,1.08352,1.08885
16,2023-01-25,1.08871,1.09239,1.08573,1.09149
17,2023-01-26,1.09173,1.09296,1.08508,1.08914
18,2023-01-27,1.08896,1.09006,1.08379,1.08679
19,2023-01-30,1.08609,1.0914,1.08393,1.08518
20,2023-01-31,1.08498,1.0875,1.08022,1.08626
21,2023-02-01,1.08637,1.10013,1.08525,1.09892
22,2023-02-02,1.09893,1.10332,1.08855,1.0911
23,2023-02-03,1.09097,1.09403,1.07929,1.07937
24,2023-02-06,1.0791,1.07991,1.07095,1.07254
25,2023-02-07,1.07263,1.07668,1.06693,1.07278
26,2023-02-08,1.07241,1.07609,1.07096,1.07144
27,2023-02-09,1.07136,1.0791,1.07096,1.07388
28,2023-02-10,1.07369,1.07529,1.06665,1.06787
29,2023-02-13,1.06832,1.073,1.06557,1.07252
30,2023-02-14,1.07235,1.08042,1.07069,1.07359
31,2023-02-15,1.07372,1.07447,1.06606,1.06874
32,2023-02-16,1.06906,1.07227,1.06545,1.06728
33,2023-02-17,1.06728,1.06985,1.0613,1.0694
34,2023-02-20,1.06879,1.07048,1.06704,1.06846
35,2023-02-21,1.06842,1.06983,1.06376,1.0647
36,2023-02-22,1.06506,1.06641,1.05992,1.06043
37,2023-02-23,1.06063,1.06279,1.05773,1.05944
38,2023-02-24,1.05948,1.06144,1.05362,1.05453
39,2023-02-27,1.05463,1.062,1.05332,1.06094
40,2023-02-28,1.06071,1.06455,1.05743,1.05766
41,2023-03-01,1.0576,1.06916,1.05655,1.06691
42,2023-03-02,1.06691,1.06729,1.05766,1.05976
43,2023-03-03,1.05994,1.06388,1.05884,1.06332
44,2023-03-06,1.0628,1.06945,1.06223,1.06824
45,2023-03-07,1.068,1.06947,1.05463,1.05491
46,2023-03-08,1.05487,1.05739,1.05245,1.05447
47,2023-03-09,1.05459,1.05913,1.05382,1.05824
48,2023-03-10,1.05805,1.07008,1.05741,1.0639
49,2023-03-13,1.06372,1.07486,1.06367,1.07317
50,2023-03-14,1.07279,1.07498,1.0679,1.07332
51,2023-03-15,1.07336,1.07599,1.05163,1.05772
52,2023-03-16,1.05768,1.06358,1.05514,1.06114
53,2023-03-17,1.06086,1.06854,1.06086,1.06648
54,2023-03-20,1.06858,1.0731,1.06314,1.0724
55,2023-03-21,1.07203,1.07886,1.07043,1.07698
56,2023-03-22,1.07679,1.09126,1.07592,1.08552
57,2023-03-23,1.08583,1.09299,1.08245,1.08326
58,2023-03-24,1.08325,1.0839,1.07133,1.07606
59,2023-03-27,1.07716,1.08002,1.07451,1.07991
60,2023-03-28,1.07969,1.08487,1.07961,1.08459
61,2023-03-29,1.08438,1.08715,1.0818,1.08445
62,2023-03-30,1.08442,1.09264,1.08238,1.09054
63,2023-03-31,1.09054,1.09259,1.0837,1.0843
64,2023-04-03,1.08422,1.09168,1.07884,1.09037
65,2023-04-04,1.09044,1.09733,1.0883,1.09558
66,2023-04-05,1.09526,1.09697,1.08912,1.09073
67,2023-04-06,1.09033,1.09377,1.08848,1.09213
68,2023-04-07,1.09224,1.09241,1.08766,1.09043
69,2023-04-10,1.09015,1.09172,1.08315,1.08614
70,2023-04-11,1.08636,1.09282,1.08598,1.0913
71,2023-04-12,1.0912,1.10005,1.09117,1.0991
72,2023-04-13,1.09913,1.10679,1.0977,1.1047
73,2023-04-14,1.10469,1.10759,1.09726,1.0995
74,2023-04-17,1.09914,1.09999,1.09094,1.09277
75,2023-04-18,1.09249,1.0983,1.09225,1.09736
76,2023-04-19,1.09713,1.09842,1.09175,1.0956
77,2023-04-20,1.09554,1.09897,1.09336,1.0969
78,2023-04-21,1.09687,1.09939,1.09382,1.09898
79,2023-04-24,1.09901,1.10503,1.09661,1.10468
80,2023-04-25,1.10465,1.10671,1.09643,1.09744
81,2023-04-26,1.09717,1.10956,1.09686,1.104
82,2023-04-27,1.10401,1.10635,1.09924,1.10292
83,2023-04-28,1.10258,1.10451,1.09626,1.10168
84,2023-05-01,1.10137,1.10356,1.09646,1.09762
85,2023-05-02,1.09755,1.10081,1.09423,1.09996
86,2023-05-03,1.10017,1.10914,1.09997,1.10626
87,2023-05-04,1.10602,1.10916,1.09863,1.10122
88,2023-05-05,1.10122,1.1048,1.09669,1.10188
89,2023-05-08,1.10208,1.10539,1.10002,1.10041
90,2023-05-09,1.10032,1.10059,1.09412,1.0961
91,2023-05-10,1.09641,1.1007,1.09418,1.09827
92,2023-05-11,1.09817,1.09982,1.09002,1.09158
93,2023-05-12,1.09163,1.09357,1.08481,1.08503
94,2023-05-15,1.08543,1.08909,1.08455,1.08745
95,2023-05-16,1.08748,1.09047,1.08551,1.0863
96,2023-05-17,1.08641,1.08738,1.08105,1.0839
97,2023-05-18,1.08407,1.08482,1.07627,1.07699
98,2023-05-19,1.07705,1.08289,1.07602,1.08052
99,2023-05-22,1.0808,1.08315,1.07956,1.08128
100,2023-05-23,1.08111,1.08207,1.07604,1.07704
101,2023-05-24,1.07737,1.08015,1.07484,1.07493
102,2023-05-25,1.07522,1.0757,1.07075,1.07253
103,2023-05-26,1.07255,1.07587,1.0702,1.07259
104,2023-05-29,1.0722,1.07436,1.07057,1.07091
105,2023-05-30,1.0711,1.07467,1.06727,1.07349
106,2023-05-31,1.07314,1.07359,1.06353,1.06894
107,2023-06-01,1.06861,1.07686,1.0662,1.07623
108,2023-06-02,1.07623,1.07792,1.07053,1.07063
109,2023-06-05,1.07076,1.07226,1.06747,1.07127
110,2023-06-06,1.07148,1.07331,1.06672,1.06925
111,2023-06-07,1.06938,1.07398,1.06684,1.06991
112,2023-06-08,1.06977,1.07872,1.06966,1.07832
113,2023-06-09,1.07815,1.07856,1.0743,1.07499
114,2023-06-12,1.07488,1.07902,1.07332,1.07586
115,2023-06-13,1.07575,1.08237,1.07559,1.07932
116,2023-06-14,1.07958,1.08643,1.07742,1.08323
117,2023-06-15,1.08312,1.09528,1.08039,1.09451
118,2023-06-16,1.09443,1.09707,1.09181,1.09416
119,2023-06-19,1.09366,1.09464,1.09072,1.09218
120,2023-06-20,1.09231,1.09464,1.08927,1.09179
121,2023-06-21,1.09175,1.0991,1.09059,1.09864
122,2023-06-22,1.09862,1.10124,1.09487,1.09558
123,2023-06-23,1.09574,1.09589,1.08445,1.08948
124,2023-06-26,1.09017,1.09202,1.08877,1.09053
125,2023-06-27,1.09073,1.09768,1.09022,1.09609
126,2023-06-28,1.09602,1.09632,1.0897,1.09131
127,2023-06-29,1.09144,1.09415,1.08604,1.08643
128,2023-06-30,1.08647,1.0932,1.08354,1.09111
129,2023-07-03,1.09117,1.09341,1.08704,1.0913
130,2023-07-04,1.09118,1.09166,1.0877,1.08795
131,2023-07-05,1.0883,1.09081,1.08512,1.08538
132,2023-07-06,1.08576,1.09008,1.08339,1.08926
133,2023-07-07,1.08878,1.09734,1.08672,1.09674
134,2023-07-10,1.09611,1.10016,1.09436,1.10015
135,2023-07-11,1.10014,1.10269,1.09771,1.10087
136,2023-07-12,1.10051,1.11406,1.10051,1.11317
137,2023-07-13,1.11331,1.12281,1.11285,1.12263
138,2023-07-14,1.12174,1.1245,1.12044,1.12286
139,2023-07-17,1.12302,1.12489,1.12037,1.12382
140,2023-07-18,1.1237,1.12759,1.12091,1.1229
141,2023-07-19,1.12281,1.12404,1.11746,1.12025
142,2023-07-20,1.12004,1.12292,1.11187,1.11298
143,2023-07-21,1.11325,1.11451,1.11081,1.11259
144,2023-07-24,1.11252,1.11471,1.10603,1.10649
145,2023-07-25,1.10651,1.1087,1.10211,1.10556
146,2023-07-26,1.10538,1.1107,1.10381,1.10858
147,2023-07-27,1.10822,1.11498,1.0966,1.09775
148,2023-07-28,1.09772,1.10477,1.09437,1.10171
149,2023-07-31,1.10225,1.10459,1.09935,1.09972
150,2023-08-01,1.09949,1.10032,1.09525,1.09845
151,2023-08-02,1.09827,1.10203,1.0918,1.09386
152,2023-08-03,1.09402,1.09629,1.09124,1.09493
153,2023-08-04,1.09464,1.10421,1.09352,1.10113
154,2023-08-07,1.10168,1.10193,1.09656,1.10032
155,2023-08-08,1.10035,1.10114,1.09292,1.09567
156,2023-08-09,1.0954,1.09954,1.0952,1.09741
157,2023-08-10,1.09777,1.10653,1.09675,1.09816
158,2023-08-11,1.09824,1.10051,1.09432,1.09478
159,2023-08-14,1.09529,1.09604,1.08749,1.09067
160,2023-08-15,1.09102,1.09526,1.08975,1.09049
161,2023-08-16,1.09089,1.09346,1.08716,1.08791
162,2023-08-17,1.08843,1.09183,1.08565,1.08725
163,2023-08-18,1.08687,1.08941,1.0845,1.08728
164,2023-08-21,1.08716,1.09138,1.08698,1.08961
165,2023-08-22,1.08952,1.09306,1.08331,1.08461
166,2023-08-23,1.08447,1.08715,1.08026,1.08636
167,2023-08-24,1.08669,1.08767,1.08053,1.08108
168,2023-08-25,1.08094,1.08419,1.0766,1.07942
169,2023-08-28,1.07968,1.08224,1.07935,1.08195
170,2023-08-29,1.08169,1.08921,1.07824,1.08793
171,2023-08-30,1.08762,1.09457,1.08553,1.09232
172,2023-08-31,1.09247,1.09397,1.08352,1.08433
173,2023-09-01,1.08411,1.0882,1.07723,1.07736
174,2023-09-04,1.07776,1.0809,1.07718,1.07962
175,2023-09-05,1.07957,1.07985,1.07064,1.07227
176,2023-09-06,1.07258,1.0749,1.07029,1.07263
177,2023-09-07,1.07244,1.07319,1.06866,1.0696
178,2023-09-08,1.06979,1.07439,1.06944,1.07007
179,2023-09-11,1.07155,1.07595,1.07085,1.075
180,2023-09-12,1.07474,1.0769,1.07056,1.07541
181,2023-09-13,1.07565,1.0765,1.07112,1.07295
182,2023-09-14,1.07291,1.07523,1.0632,1.06441
183,2023-09-15,1.06436,1.06879,1.06334,1.06627
184,2023-09-18,1.06628,1.06989,1.06549,1.06924
185,2023-09-19,1.06857,1.0718,1.06753,1.06793
186,2023-09-20,1.06802,1.07369,1.06502,1.06608
187,2023-09-21,1.06603,1.06737,1.06171,1.06616
188,2023-09-22,1.06586,1.06719,1.06151,1.06449
189,2023-09-25,1.06507,1.06555,1.05756,1.05924
190,2023-09-26,1.05936,1.06091,1.05623,1.05724
191,2023-09-27,1.05691,1.05745,1.04883,1.05034
192,2023-09-28,1.05066,1.05789,1.04911,1.05663
193,2023-09-29,1.05614,1.06172,1.05582,1.05735
194,2023-10-02,1.05723,1.05921,1.04778,1.04781
195,2023-10-03,1.04786,1.04937,1.04484,1.04662
196,2023-10-04,1.04686,1.05322,1.04515,1.0504
197,2023-10-05,1.05039,1.05519,1.05001,1.05509
198,2023-10-06,1.05476,1.06001,1.04826,1.05838
199,2023-10-09,1.05526,1.05746,1.05196,1.05668
200,2023-10-10,1.05676,1.06199,1.05545,1.06053
201,2023-10-11,1.06042,1.06349,1.05814,1.06192
202,2023-10-12,1.06185,1.06398,1.05259,1.05281
203,2023-10-13,1.05321,1.05587,1.04956,1.05068
204,2023-10-16,1.0515,1.05629,1.05096,1.05594
205,2023-10-17,1.05595,1.0595,1.05331,1.05761
206,2023-10-18,1.05764,1.05943,1.05233,1.05365
207,2023-10-19,1.05375,1.06165,1.05284,1.05818
208,2023-10-20,1.05821,1.06038,1.05651,1.05953
209,2023-10-23,1.05965,1.0678,1.05716,1.06687
210,2023-10-24,1.06686,1.06944,1.05831,1.059
211,2023-10-25,1.0591,1.06069,1.05658,1.05663
212,2023-10-26,1.05664,1.05731,1.05227,1.05616
213,2023-10-27,1.05599,1.05972,1.05355,1.05655
214,2023-10-30,1.05692,1.06253,1.05473,1.06154
215,2023-10-31,1.06179,1.06751,1.05577,1.05755
216,2023-11-01,1.05756,1.05808,1.05171,1.05702
217,2023-11-02,1.05692,1.06678,1.0567,1.06226
218,2023-11-03,1.06204,1.07468,1.0615,1.07278
219,2023-11-06,1.07269,1.07565,1.07162,1.07173
220,2023-11-07,1.0716,1.0724,1.06642,1.06998
221,2023-11-08,1.07016,1.07162,1.06593,1.0709
222,2023-11-09,1.07053,1.07257,1.06603,1.06677
223,2023-11-10,1.06675,1.06929,1.06562,1.06852
224,2023-11-13,1.06852,1.07068,1.06652,1.06983
225,2023-11-14,1.0699,1.08876,1.0693,1.08788
226,2023-11-15,1.08775,1.08865,1.08315,1.08475
227,2023-11-16,1.08512,1.08956,1.08302,1.08522
228,2023-11-17,1.08505,1.09168,1.0825,1.09085
229,2023-11-20,1.09117,1.0952,1.08976,1.09404
230,2023-11-21,1.09395,1.09653,1.09002,1.09107
231,2023-11-22,1.0912,1.0923,1.08522,1.08888
232,2023-11-23,1.08878,1.09308,1.08833,1.09053
233,2023-11-24,1.09055,1.09488,1.08951,1.09407
234,2023-11-27,1.09458,1.09593,1.09253,1.09537
235,2023-11-28,1.09553,1.1009,1.09343,1.09923
236,2023-11-29,1.09925,1.10173,1.09602,1.09694
237,2023-11-30,1.0972,1.0984,1.08794,1.08882
238,2023-12-01,1.08857,1.09129,1.08289,1.08812
239,2023-12-04,1.08794,1.0895,1.08042,1.08365
240,2023-12-05,1.08326,1.08476,1.07783,1.07961
241,2023-12-06,1.07958,1.08046,1.07589,1.07644
242,2023-12-07,1.07676,1.08165,1.07554,1.07937
243,2023-12-08,1.07937,1.08008,1.0724,1.07626
244,2023-12-11,1.07608,1.07791,1.07418,1.07646
245,2023-12-12,1.07625,1.08278,1.07589,1.07948
246,2023-12-13,1.07939,1.08967,1.07732,1.08754
247,2023-12-14,1.08773,1.10094,1.08714,1.09924
248,2023-12-15,1.09941,1.10038,1.08888,1.08953
249,2023-12-18,1.08966,1.09313,1.08922,1.09233
250,2023-12-19,1.09192,1.09876,1.0915,1.09808
251,2023-12-20,1.09813,1.09851,1.09299,1.09425
252,2023-12-21,1.09421,1.10129,1.09354,1.10112
253,2023-12-22,1.10105,1.10403,1.09941,1.10126
254,2023-12-25,1.10172,1.10216,1.0994,1.1016
255,2023-12-26,1.10096,1.10451,1.10089,1.10424
256,2023-12-27,1.10412,1.11228,1.10287,1.11053
257,2023-12-28,1.11048,1.11397,1.10554,1.10623
258,2023-12-29,1.10634,1.10845,1.10343,1.10394
259,2024-01-01,,,,
260,2024-01-02,1.1044,1.10453,1.09385,1.09414
261,2024-01-03,1.09467,1.09655,1.08983,1.09136
